Dado,Andar,Unidades por Andar,Área Privativa (m²),WC,Fator de depreciação Edifício,Fator de depreciação da unidade,Nº de Pavimentos,Nº de Elevadores,Posição do Imóvel no Terreno,Valor Total (R$)
1,7,8,92,3,"0,561028571428571","0,561028571428571",12,2,3,125000
2,5,10,81,1,"0,289533333333333","0,454057142857143",7,2,3,95000
3,5,12,"59,89",0,"0,33035","0,547007142857143",6,2,2,150000
4,11,6,49,1,"0,485108571428571","0,454057142857143",14,2,3,75000
5,11,6,49,1,"0,485108571428571","0,454057142857143",14,2,2,85000
6,9,4,37,1,"0,485108571428571","0,485108571428571",15,2,3,50000
7,13,8,55,2,"0,454057142857143","0,454057142857143",13,4,3,60000
8,2,10,"532,69",4,"0,454057142857143","0,509211428571429",13,3,1,950000
9,4,8,230,4,"0,454057142857143","0,509211428571429",18,3,1,350000
10,10,8,36,1,"0,454057142857143","0,3547",18,3,3,60000
11,13,8,22,1,"0,454057142857143","0,509211428571429",18,3,3,50000
12,6,8,30,1,"0,454057142857143","0,454057142857143",18,3,1,55000
13,12,17,98,1,"0,561028571428571","0,639405714285714",15,3,1,270000
14,9,5,45,1,"0,561028571428571","0,639405714285714",11,2,3,60000
15,2,5,182,3,"0,454057142857143","0,510204081632653",13,3,1,285000
16,1,1,677,6,"0,561028571428571","0,639405714285714",8,2,1,1175000
17,9,7,190,1,"0,395557142857143","0,395557142857143",11,2,1,285000
18,7,2,300,4,"0,850971428571429","0,853061224489796",9,2,1,750000
19,1,8,400,2,"0,605154285714286","0,605154285714286",6,2,2,550000
20,11,8,75,1,"0,454057142857143","0,485108571428571",13,2,3,70000
21,7,9,74,1,"0,454057142857143","0,454057142857143",7,2,3,60000
22,2,9,320,3,"0,454057142857143","0,347036734693877",7,2,2,650000
23,2,9,100,2,"0,454057142857143","0,510204081632653",7,2,2,200000
24,3,12,89,2,"0,454057142857143","0,454057142857143",8,2,1,120000
25,5,9,"46,52",1,"0,454057142857143","0,509211428571429",11,2,1,60000
Avaliando,8,1,220,2,"0,277387755102041","0,2",16,2,1,0
