Perfil,bw,bf,D,e,"Mdist,x (kNm)",Ndist
"50 x 25 x 10 x 1,2",50,25,10,"1,2","2,81","95,51"
"50 x 25 x 10 x 1,5",50,25,10,"1,5","4,51","154,62"
50 x 25 x 10 x 2,50,25,10,2,"8,4","290,84"
"50 x 25 x 10 x 2,25",50,25,10,"2,25","10,88","378,53"
"50 x 25 x 10 x 2,65",50,25,10,"2,65","15,62","547,38"
50 x 25 x 10 x 3,50,25,10,3,"20,6","726,23"
"75 x 40 x 15 x 1,2",75,40,15,"1,2","3,88","89,68"
"75 x 40 x 15 x 1,5",75,40,15,"1,5","6,18","143,66"
75 x 40 x 15 x 2,75,40,15,2,"11,34","265,86"
"75 x 40 x 15 x 2,25",75,40,15,"2,25","14,57","343,33"
"75 x 40 x 15 x 2,65",75,40,15,"2,65","20,7","490,11"
75 x 40 x 15 x 3,75,40,15,3,"27,11","645,28"
"100 x 40 x 17 x 1,2",100,40,17,"1,2","5,27","98,93"
"100 x 40 x 17 x 1,5",100,40,17,"1,5","8,41","130,03"
100 x 40 x 17 x 2,100,40,17,2,"15,45","240,76"
"100 x 40 x 17 x 2,25",100,40,17,"2,25","19,87","310,64"
"100 x 40 x 17 x 2,65",100,40,17,"2,65","28,27","444,88"
100 x 40 x 17 x 3,100,40,17,3,"37,03","584,89"
"100 x 40 x 17 x 3,35",100,40,17,"3,35","47,14","747,51"
"100 x 50 x 17 x 1,2",100,50,17,"1,2","4,61","80,47"
"100 x 50 x 17 x 1,5",100,50,17,"1,5","7,33","128,77"
100 x 50 x 17 x 2,100,50,17,2,"13,44","237,89"
"100 x 50 x 17 x 2,25",100,50,17,"2,25","17,25","306,91"
"100 x 50 x 17 x 2,65",100,50,17,"2,65","24,49","438,45"
100 x 50 x 17 x 3,100,50,17,3,"32,04","575,6"
"100 x 50 x 17 x 3,35",100,50,17,"3,35","40,71","736,27"
125 x 50 x 17 x 2,125,50,17,2,"15,98","207,1"
"125 x 50 x 17 x 2,25",125,50,17,"2,25","20,57","267,92"
"125 x 50 x 17 x 2,65",125,50,17,"2,65","29,31","384,19"
125 x 50 x 17 x 3,125,50,17,3,"38,4","506,44"
"125 x 50 x 17 x 3,35",125,50,17,"3,35","48,97","649,98"
"125 x 50 x 20 x 3,75",125,50,20,"3,75","69,71","895,65"
150 x 60 x 20 x 2,150,60,20,2,"18,45","198,64"
"150 x 60 x 20 x 2,25",150,60,20,"2,25","23,69","256,17"
"150 x 60 x 20 x 2,65",150,60,20,"2,65","33,63","366,14"
150 x 60 x 20 x 3,150,60,20,3,"43,96","480,79"
"150 x 60 x 20 x 3,35",150,60,20,"3,35","55,9","615,16"
"150 x 60 x 20 x 3,75",150,60,20,"3,75","71,6","791,95"
"150 x 60 x 20 x 4,25",150,60,20,"4,25","94,49","1051,52"
"150 x 60 x 20 x 4,75",150,60,20,"4,75","121,17","1358,58"
200 x 75 x 20 x 2,200,75,20,2,"19,54","153,26"
"200 x 75 x 20 x 2,25",200,75,20,"2,25","25,13","198,14"
"200 x 75 x 25 x 2,65",200,75,25,"2,65","42,75","331,35"
200 x 75 x 25 x 3,200,75,25,3,"55,73","434,37"
"200 x 75 x 25 x 3,35",200,75,25,"3,35","70,65","553,18"
"200 x 75 x 25 x 4,75",200,75,25,"4,75","151,55","1208,85"
"200 x 75 x 30 x 6,3",200,75,30,"6,3","317,57","2478,6"
"200 x 100 x 25 x 2,65",200,100,25,"2,65","34,4","319,4"
200 x 100 x 25 x 3,200,100,25,3,"44,77","417,29"
"200 x 100 x 25 x 3,35",200,100,25,"3,35","56,68","530,58"
"200 x 100 x 25 x 3,75",200,100,25,"3,75","72,22","679,9"
"200 x 100 x 25 x 4,25",200,100,25,"4,25","94,74","896,06"
"200 x 100 x 25 x 4,75",200,100,25,"4,75","120,73","1150,73"
250 x 85 x 25 x 2,250,85,25,2,"25,41","143,87"
"250 x 85 x 25 x 2,25",250,85,25,"2,25","32,61","185,49"
"250 x 85 x 25 x 2,65",250,85,25,"2,65","46,23","264,86"
250 x 85 x 25 x 3,250,85,25,3,"60,35","347,93"
"250 x 85 x 25 x 3,35",250,85,25,"3,35","76,67","444,61"
"250 x 85 x 25 x 3,75",250,85,25,"3,75","98,07","572,03"
"250 x 85 x 25 x 4,25",250,85,25,"4,25","129,2","759,67"
"250 x 85 x 25 x 4,75",250,85,25,"4,75","165,44","980,44"
"250 x 85 x 30 x 6,3",250,85,30,"6,3","350,26","2075,83"
"250 x 100 x 25 x 2,65",250,100,25,"2,65","41,13","273,15"
250 x 100 x 25 x 3,250,100,25,3,"53,62","358,04"
"250 x 100 x 25 x 3,35",250,100,25,"3,35","68,01","456,68"
"250 x 100 x 25 x 3,75",250,100,25,"3,75","86,93","587,19"
"250 x 100 x 25 x 4,25",250,100,25,"4,25","114,3","777,07"
"250 x 100 x 25 x 4,75",250,100,25,"4,75","146,13","1001,18"
300 x 85 x 25 x 2,300,85,25,2,"28,3",
"300 x 85 x 25 x 2,25",300,85,25,"2,25","36,4",
"300 x 85 x 25 x 2,65",300,85,25,"2,65","51,76",
300 x 85 x 25 x 3,300,85,25,3,"67,78",
"300 x 85 x 25 x 3,35",300,85,25,"3,35","86,3",
"300 x 85 x 25 x 3,75",300,85,25,"3,75","110,73",
"300 x 85 x 25 x 4,25",300,85,25,"4,25","146,38",
"300 x 85 x 25 x 4,75",300,85,25,"4,75","188,02",
"300 x 85 x 30 x 6,3",300,85,30,"6,3","397,82","1639,62"
"300 x 100 x 25 x 2,65",300,100,25,"2,65","47,04",
300 x 100 x 25 x 3,300,100,25,3,"61,48",
"300 x 100 x 25 x 3,35",300,100,25,"3,35","78,15","367,96"
"300 x 100 x 25 x 3,75",300,100,25,"3,75","100,05","474,76"
"300 x 100 x 25 x 4,25",300,100,25,"4,25","132,02","632,61"
"300 x 100 x 25 x 4,75",300,100,25,"4,75","169,28","818,06"
