Perfis,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),D (mm),tw Espessura da Alma (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Iy (cm⁴),Wy (cm³),ry (cm),It (cm⁴),Esbeltez da Alma (h/tw),Cw (cm⁶),u (Área de pintura - m²/m),xg,x0,r0,bf/bw,bw/t,D/bw,D/bw_min,Verificação
"50 x 25 x 10 x 1,2","1,05607369006854",50,25,10,"1,2","45,2","45,2","1,34531680263508","5,2362914821161","2,09451659284644","1,97287524618192","1,22623910575024","0,781821851485134","0,95471841123463","0,006457520652648","37,6666666666667","8,13338042575324","114,509733552923","0,931561994051594","2,17043709203176","3,08456174394597","0,5","41,6666666666667","0,2","0,2598",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"50 x 25 x 10 x 1,5","1,29686514073209",50,25,10,"1,5",44,44,"1,65205750411731","6,31800291266956","2,52720116506782","1,95558785250146","1,45720687972338","0,928124471123003","0,939178250197517","0,01239043128088","29,3333333333333","9,61904385080631","113,137166941154","0,929944554785634","2,13417971507432","3,04320598887588","0,5","33,3333333333333","0,2","0,2598",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
50 x 25 x 10 x 2,"1,67753802796816",50,25,10,2,42,42,"2,13699111843077","7,92834686157674","3,17133874463069","1,92614936761449","1,78045691469579","1,131969707858","0,91277634310721","0,02849321491241",21,"11,6785636575285","110,849555921539","0,927116112440057","2,07363656794406","2,973748586349","0,5",25,"0,2","0,2598",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"50 x 25 x 10 x 2,25","1,8581965666472",50,25,10,"2,25",41,41,"2,36712938426395","8,64562252625088","3,45824901050035","1,91111638846715","1,91449894660419","1,21604562950126","0,899324795433218","0,039945308359454","18,2222222222222","12,5288949491022","109,705750411731","0,925635601034648","2,04330796676861","2,93875116078391","0,5","22,2222222222222","0,2","0,2598",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"50 x 25 x 10 x 2,65","2,1338302003516",50,25,10,"2,65","39,4","39,4","2,71825503229503","9,67491981562824","3,8699679262513","1,88659459907787","2,09273315890203","1,32717579968642","0,877428683323736","0,063629819880973","14,8679245283019","13,6633447426547","107,875661596039","0,923168084140394","1,99469727271693","2,88234929968131","0,5","18,8679245283019","0,2","0,2598",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
50 x 25 x 10 x 3,"2,36146056292836",50,25,10,3,38,38,"3,00823001646924","10,4591641722179","4,18366566888714","1,86463129871503","2,21386192584557","1,40197953677227","0,857866572417453","0,090246900494077","12,6666666666667","14,4465144160268","106,274333882308","0,920902825056589","1,95207148296771","2,83255503226941","0,5","16,6666666666667","0,2","0,2598",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"75 x 40 x 15 x 1,2","1,66837369006854",75,40,15,"1,2","70,2","70,2","2,12531680263508","19,321601470597","5,15242705882585","3,01515555085648","5,13836030197582","2,06118572743178","1,55489275150452","0,010201520652648","58,5","76,9506156639362","179,509733552923","1,50708525020781","3,56397371292026","4,9204433835711","0,533333333333333","62,5","0,2","0,2009",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"75 x 40 x 15 x 1,5","2,06224014073209",75,40,15,"1,5",69,69,"2,62705750411731","23,6211796399421","6,29898123731789","2,99858249672456","6,22688694358539","2,49613412882012","1,53957446972875","0,01970293128088",46,"92,8709221110882","178,137166941154","1,50538768262075","3,52754978914404","4,87907717221132","0,533333333333333",50,"0,2","0,2581",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
75 x 40 x 15 x 2,"2,69803802796816",75,40,15,2,67,67,"3,43699111843077","30,3298643627167","8,08796383005779","2,97061267060803","7,87554526160001","3,15333587256063","1,5137393858897","0,045826548245744","33,5","116,728883087653","175,849555921539","1,50247180132932","3,46676469256928","4,80982369747745","0,533333333333333","37,5","0,2","0,2581",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"75 x 40 x 15 x 2,25","3,0062590666472",75,40,15,"2,25",66,66,"3,82962938426395","33,4734229485147","8,92624611960391","2,95645783261171","8,62440333430065","3,45110259698794","1,50067330132386","0,064624995859454","29,3333333333333","127,467122155184","174,705750411731","1,50097161938105","3,43633387151906","4,77504489506293","0,533333333333333","33,3333333333333","0,2","0,2581",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
